fold,baseline_fold_macro_f1,candidate_id,fm_fold_macro_f1,blend_0p25_fold_macro_f1,blend_0p50_fold_macro_f1,paired_delta_0p25,paired_delta_0p50,early_stopping_epoch,loss_finite
2,0.4868858284320392,O1_lr_0.001,0.3393326509091165,0.4769311702852183,0.426544346015806,-0.009954658146820894,-0.060341482416233216,3.0,True
3,0.46853347751182756,O1_lr_0.001,0.26443509072101196,0.47840199326951005,0.48120206798917786,0.009868515757682494,0.012668590477350306,1.0,True
4,0.476902766414631,O1_lr_0.001,0.29630431144834485,0.48092250687441385,0.42018835638928115,0.004019740459782872,-0.056714410025349826,2.0,True
5,0.5040693452846597,O1_lr_0.001,0.2991209549087364,0.5037916693869077,0.48995357561582387,-0.00027767589775207213,-0.014115769668835876,1.0,True
1,0.4724201560595004,O1_lr_0.003,0.2515967072159342,0.4352128073376197,0.32099717549822143,-0.037207348721880695,-0.15142298056127895,1.0,True
2,0.4868858284320392,O1_lr_0.003,0.26791232789152725,0.4536185770710028,0.36191544464383835,-0.03326725136103642,-0.12497038378820086,1.0,True
3,0.46853347751182756,O1_lr_0.003,0.2632494590748808,0.4484740591597791,0.3651075239693518,-0.02005941835204844,-0.10342595354247575,1.0,True
4,0.476902766414631,O1_lr_0.003,0.27846605549552683,0.4672190834691931,0.3860310306552011,-0.009683682945437866,-0.09087173575942986,1.0,True
5,0.5040693452846597,O1_lr_0.003,0.23080952992829426,0.4542280267574222,0.353329565857556,-0.049841318527237555,-0.15073977942710376,1.0,True
1,0.4724201560595004,O2_rank_4,0.32710499579023994,0.4684414772821827,0.43779346663165725,-0.003978678777317668,-0.03462668942784314,7.0,True
2,0.4868858284320392,O2_rank_4,0.33052764289119296,0.48782153698640596,0.4323524404623472,0.0009357085543667543,-0.05453338796969198,6.0,True
3,0.46853347751182756,O2_rank_4,0.3152946269011696,0.46693574895422435,0.40912909104106876,-0.0015977285576032063,-0.059404386470758797,8.0,True
4,0.476902766414631,O2_rank_4,0.3056513789182087,0.4868472101813335,0.4558541628162841,0.009944443766702504,-0.02104860359834687,6.0,True
5,0.5040693452846597,O2_rank_4,0.34528802156952615,0.5001941814391485,0.48961973897637434,-0.0038751638455112314,-0.014449606308285401,6.0,True
1,0.4724201560595004,O2_rank_8,0.3596847810053445,0.48752863523244916,0.47874858670630555,0.015108479172948774,0.006328430646805161,4.0,True
2,0.4868858284320392,O2_rank_8,0.34552121219608734,0.4871750894826844,0.4442213320797916,0.00028926105064519536,-0.042664496352247616,5.0,True
3,0.46853347751182756,O2_rank_8,0.3450498989261319,0.4687340467214867,0.44660801891245766,0.0002005692096591627,-0.021925458599369896,5.0,True
4,0.476902766414631,O2_rank_8,0.32899962820379136,0.48480864152664654,0.4215413579617095,0.00790587511201557,-0.05536140845292148,6.0,True
5,0.5040693452846597,O2_rank_8,0.3439713300116427,0.5045173410028343,0.475899682969187,0.0004479957181745542,-0.028169662315472743,5.0,True
1,0.4724201560595004,O2_rank_16,0.28157665242316077,0.4687973586946711,0.4286366337493828,-0.003622797364829289,-0.04378352231011756,3.0,True
2,0.4868858284320392,O2_rank_16,0.341660149605636,0.47869510587826214,0.435171230995862,-0.008190722553777063,-0.05171459743617718,4.0,True
3,0.46853347751182756,O2_rank_16,0.3562889593767531,0.47159921569453167,0.42855800969104874,0.003065738182704114,-0.03997546782077882,6.0,True
4,0.476902766414631,O2_rank_16,0.35815106978521594,0.4864408486729819,0.43810920788518887,0.0095380822583509,-0.03879355852944211,5.0,True
5,0.5040693452846597,O2_rank_16,0.36068039892133397,0.5034005065799839,0.4729481237358832,-0.0006688387046758226,-0.031121221548776556,4.0,True
1,0.4724201560595004,O3_weight_balanced,0.3596847810053445,0.48752863523244916,0.47874858670630555,0.015108479172948774,0.006328430646805161,4.0,True
2,0.4868858284320392,O3_weight_balanced,0.34552121219608734,0.4871750894826844,0.4442213320797916,0.00028926105064519536,-0.042664496352247616,5.0,True
3,0.46853347751182756,O3_weight_balanced,0.3450498989261319,0.4687340467214867,0.4460335572103393,0.0002005692096591627,-0.02249992030148823,5.0,True
4,0.476902766414631,O3_weight_balanced,0.32899962820379136,0.48480864152664654,0.4215413579617095,0.00790587511201557,-0.05536140845292148,6.0,True
5,0.5040693452846597,O3_weight_balanced,0.3439713300116427,0.5045173410028343,0.475899682969187,0.0004479957181745542,-0.028169662315472743,5.0,True
1,0.4724201560595004,O3_weight_sqrt_balanced,0.33745477747746694,0.4751137490871106,0.4522845717918287,0.0026935930276102416,-0.020135584267671702,4.0,True
2,0.4868858284320392,O3_weight_sqrt_balanced,0.3248375984201213,0.4862535296581863,0.4281196089813131,-0.0006322987738529018,-0.058766219450726076,5.0,True
3,0.46853347751182756,O3_weight_sqrt_balanced,0.2967113489909943,0.47047321862090824,0.43092016852251824,0.0019397411090806838,-0.03761330898930931,4.0,True
4,0.476902766414631,O3_weight_sqrt_balanced,0.34982174233999846,0.48682986716594906,0.4574471170818807,0.009927100751318085,-0.01945564933275029,6.0,True
5,0.5040693452846597,O3_weight_sqrt_balanced,0.33994810867640585,0.5043081616797394,0.46377355116212093,0.00023881639507961072,-0.04029579412253881,5.0,True
1,0.4724201560595004,O3_weight_none,0.24184446311143623,0.47460452923655655,0.42051756104386684,0.0021843731770561647,-0.051902595015633546,4.0,True
2,0.4868858284320392,O3_weight_none,0.33533426949991024,0.48131545958797106,0.4310006352646357,-0.005570368844068141,-0.05588519316740348,6.0,True
3,0.46853347751182756,O3_weight_none,0.27383216129273635,0.4598254127799555,0.40613841379412435,-0.008708064731872078,-0.0623950637177032,5.0,True
4,0.476902766414631,O3_weight_none,0.319536753609249,0.48367135507714,0.43659261763700763,0.006768588662509012,-0.040310148777623345,6.0,True
5,0.5040693452846597,O3_weight_none,0.3165217460522508,0.5063091164344471,0.4545903392770669,0.0022397711497873507,-0.04947900600759286,5.0,True
