variant,class,precision,recall,f1-score,support
blend_0p5,COAD,0.7989949748743719,0.7130044843049327,0.7535545023696683,223.0
blend_0p5,DLBC,0.5526315789473685,0.5526315789473685,0.5526315789473685,38.0
blend_0p5,GBMLGG,0.5714285714285714,0.28633405639913234,0.3815028901734104,461.0
blend_0p5,HNSC,0.41919191919191917,0.3721973094170404,0.39429928741092635,223.0
blend_0p5,KIPAN,0.2776203966005666,0.19029126213592232,0.22580645161290322,515.0
blend_0p5,KIRC,0.23480662983425415,0.25449101796407186,0.2442528735632184,334.0
blend_0p5,LAML,0.4588235294117647,0.4936708860759494,0.47560975609756095,158.0
blend_0p5,LGG,0.4457831325301205,0.6462882096069869,0.5276292335115864,229.0
blend_0p5,LIHC,0.436046511627907,0.47468354430379744,0.45454545454545453,158.0
blend_0p5,LUAD,0.46099290780141844,0.3532608695652174,0.4,184.0
blend_0p5,LUSC,0.5416666666666666,0.5842696629213483,0.5621621621621622,178.0
blend_0p5,OV,0.36768149882903983,0.6205533596837944,0.46176470588235297,253.0
blend_0p5,PAAD,0.33490566037735847,0.5916666666666667,0.42771084337349397,120.0
blend_0p5,PCPG,0.20495495495495494,0.6190476190476191,0.3079526226734349,147.0
blend_0p5,PRAD,0.285,0.42857142857142855,0.34234234234234234,266.0
blend_0p5,SARC,0.2222222222222222,0.1717171717171717,0.19373219373219372,198.0
blend_0p5,SKCM,0.9620253164556962,0.8260869565217391,0.8888888888888888,276.0
blend_0p5,STES,0.6296296296296297,0.49340369393139843,0.5532544378698225,379.0
blend_0p5,TGCT,0.36398467432950193,0.7661290322580645,0.4935064935064935,124.0
blend_0p5,THCA,0.8857142857142857,0.5740740740740741,0.6966292134831461,324.0
blend_0p5,THYM,0.19665271966527198,0.47959183673469385,0.2789317507418398,98.0
blend_0p5,UCEC,0.6162162162162163,0.5757575757575758,0.5953002610966057,198.0
