variant,class,support,precision,recall,f1
equal_H0_non_EB,STES,379,0.5330188679245284,0.5963060686015831,0.5628891656288917
equal_H0_non_EB,TGCT,124,0.7073170731707317,0.7016129032258065,0.7044534412955465
equal_H0_non_EB,THCA,324,0.8,0.6049382716049383,0.6889279437609842
equal_H0_non_EB,THYM,98,0.2392638036809816,0.3979591836734694,0.2988505747126437
equal_H0_non_EB,UCEC,198,0.7028571428571428,0.6212121212121212,0.6595174262734584
equal_H0_EB,ACC,72,0.9682539682539683,0.8472222222222222,0.9037037037037037
equal_H0_EB,BLCA,104,0.573170731707317,0.4519230769230769,0.5053763440860215
equal_H0_EB,BRCA,786,0.5428571428571428,0.5559796437659033,0.5493400377121307
equal_H0_EB,CESC,155,0.44642857142857145,0.3225806451612903,0.37453183520599254
equal_H0_EB,COAD,223,0.780373831775701,0.7488789237668162,0.7643020594965675
equal_H0_EB,DLBC,38,0.7727272727272727,0.4473684210526316,0.5666666666666667
equal_H0_EB,GBMLGG,461,0.6293532338308457,0.5488069414316703,0.5863267670915412
equal_H0_EB,HNSC,223,0.425531914893617,0.35874439461883406,0.38929440389294406
equal_H0_EB,KIPAN,515,0.6688888888888889,0.5844660194174758,0.6238341968911917
equal_H0_EB,KIRC,334,0.628992628992629,0.7664670658682635,0.6909581646423751
equal_H0_EB,LAML,158,0.5833333333333334,0.5316455696202531,0.5562913907284768
equal_H0_EB,LGG,229,0.6168582375478927,0.7030567685589519,0.6571428571428571
equal_H0_EB,LIHC,158,0.45222929936305734,0.44936708860759494,0.4507936507936508
equal_H0_EB,LUAD,184,0.5089285714285714,0.30978260869565216,0.38513513513513514
equal_H0_EB,LUSC,178,0.5108225108225108,0.6629213483146067,0.5770171149144254
equal_H0_EB,OV,253,0.39814814814814814,0.5098814229249012,0.44714038128249567
equal_H0_EB,PAAD,120,0.4528301886792453,0.4,0.4247787610619469
equal_H0_EB,PCPG,147,0.3014354066985646,0.42857142857142855,0.3539325842696629
equal_H0_EB,PRAD,266,0.3546511627906977,0.45864661654135336,0.4
equal_H0_EB,SARC,198,0.22164948453608246,0.21717171717171718,0.2193877551020408
equal_H0_EB,SKCM,276,0.9623430962343096,0.8333333333333334,0.8932038834951457
equal_H0_EB,STES,379,0.531322505800464,0.604221635883905,0.5654320987654321
equal_H0_EB,TGCT,124,0.6850393700787402,0.7016129032258065,0.6932270916334662
equal_H0_EB,THCA,324,0.8057851239669421,0.6018518518518519,0.6890459363957597
equal_H0_EB,THYM,98,0.24539877300613497,0.40816326530612246,0.3065134099616858
equal_H0_EB,UCEC,198,0.7093023255813954,0.6161616161616161,0.6594594594594595
