seed,class,support,H0_f1,architecture_f1,delta
2024,GBMLGG,461,0.5508982035928144,0.5441527446300716,-0.006745458962742812
2024,HNSC,223,0.42452830188679247,0.4039408866995074,-0.020587415187285074
2024,KIPAN,515,0.6014418125643667,0.5983606557377049,-0.0030811568266617684
2024,KIRC,334,0.6657496561210454,0.6468200270635994,-0.018929629057445996
2024,LAML,158,0.5324675324675324,0.53156146179402,-0.0009060706735124491
2024,LGG,229,0.6553030303030303,0.6564299424184261,0.0011269121153958395
2024,LIHC,158,0.4527027027027027,0.45182724252491696,-0.0008754601777857252
2024,LUAD,184,0.43729903536977494,0.43209876543209874,-0.005200269937676194
2024,LUSC,178,0.5459183673469388,0.5665024630541872,0.020584095707248395
2024,OV,253,0.4645390070921986,0.44596912521440824,-0.01856988187779035
2024,PAAD,120,0.4583333333333333,0.4425531914893617,-0.01578014184397164
2024,PCPG,147,0.36312849162011174,0.36464088397790057,0.0015123923577888276
2024,PRAD,266,0.3694915254237288,0.35845896147403683,-0.011032563949691987
2024,SARC,198,0.24257425742574257,0.2770780856423174,0.03450382821657483
2024,SKCM,276,0.888030888030888,0.8803088803088803,-0.007722007722007707
2024,STES,379,0.5668316831683168,0.5739795918367347,0.007147908668417968
2024,TGCT,124,0.6585365853658537,0.6827309236947792,0.02419433832892548
2024,THCA,324,0.6888111888111889,0.6770293609671848,-0.011781827844004056
2024,THYM,98,0.32,0.31496062992125984,-0.0050393700787401685
2024,UCEC,198,0.6356589147286822,0.633245382585752,-0.0024135321429301637
