seed,variant,class,f1,support
2024,ComplementNB_profile,KIPAN,0.12984054669703873,515
2024,ComplementNB_profile,KIRC,0.07628524046434494,334
2024,ComplementNB_profile,LAML,0.5281385281385281,158
2024,ComplementNB_profile,LGG,0.08970976253298153,229
2024,ComplementNB_profile,LIHC,0.08571428571428572,158
2024,ComplementNB_profile,LUAD,0.07878787878787878,184
2024,ComplementNB_profile,LUSC,0.09113924050632911,178
2024,ComplementNB_profile,OV,0.059602649006622516,253
2024,ComplementNB_profile,PAAD,0.05128205128205128,120
2024,ComplementNB_profile,PCPG,0.125,147
2024,ComplementNB_profile,PRAD,0.08552631578947369,266
2024,ComplementNB_profile,SARC,0.0273972602739726,198
2024,ComplementNB_profile,SKCM,0.34217877094972066,276
2024,ComplementNB_profile,STES,0.24479166666666666,379
2024,ComplementNB_profile,TGCT,0.14864864864864866,124
2024,ComplementNB_profile,THCA,0.6071428571428571,324
2024,ComplementNB_profile,THYM,0.0,98
2024,ComplementNB_profile,UCEC,0.25905598243688255,198
2024,H0_075_ComplementNB_025,ACC,0.8840579710144928,72
2024,H0_075_ComplementNB_025,BLCA,0.5232558139534884,104
2024,H0_075_ComplementNB_025,BRCA,0.55527950310559,786
2024,H0_075_ComplementNB_025,CESC,0.4621212121212121,155
2024,H0_075_ComplementNB_025,COAD,0.7703016241299304,223
2024,H0_075_ComplementNB_025,DLBC,0.5245901639344263,38
2024,H0_075_ComplementNB_025,GBMLGG,0.548502994011976,461
2024,H0_075_ComplementNB_025,HNSC,0.425531914893617,223
2024,H0_075_ComplementNB_025,KIPAN,0.5929752066115702,515
2024,H0_075_ComplementNB_025,KIRC,0.650137741046832,334
2024,H0_075_ComplementNB_025,LAML,0.5324675324675324,158
2024,H0_075_ComplementNB_025,LGG,0.6527514231499051,229
2024,H0_075_ComplementNB_025,LIHC,0.4641638225255973,158
2024,H0_075_ComplementNB_025,LUAD,0.44089456869009586,184
2024,H0_075_ComplementNB_025,LUSC,0.5515463917525774,178
2024,H0_075_ComplementNB_025,OV,0.46808510638297873,253
2024,H0_075_ComplementNB_025,PAAD,0.45569620253164556,120
2024,H0_075_ComplementNB_025,PCPG,0.3641456582633053,147
2024,H0_075_ComplementNB_025,PRAD,0.3701188455008489,266
2024,H0_075_ComplementNB_025,SARC,0.245,198
2024,H0_075_ComplementNB_025,SKCM,0.8888888888888888,276
2024,H0_075_ComplementNB_025,STES,0.5721271393643031,379
2024,H0_075_ComplementNB_025,TGCT,0.6585365853658537,124
2024,H0_075_ComplementNB_025,THCA,0.6888111888111889,324
2024,H0_075_ComplementNB_025,THYM,0.32,98
2024,H0_075_ComplementNB_025,UCEC,0.6461538461538462,198
