variant,class,precision,recall,f1,support
seed_2024,OV,0.4125,0.5217391304347826,0.4607329842931937,253
seed_2024,PAAD,0.4690265486725664,0.44166666666666665,0.45493562231759654,120
seed_2024,PCPG,0.3130841121495327,0.4557823129251701,0.37119113573407203,147
seed_2024,PRAD,0.32926829268292684,0.40601503759398494,0.36363636363636365,266
seed_2024,SARC,0.24630541871921183,0.25252525252525254,0.24937655860349128,198
seed_2024,SKCM,0.9506172839506173,0.8369565217391305,0.8901734104046243,276
seed_2024,STES,0.541371158392435,0.604221635883905,0.571072319201995,379
seed_2024,TGCT,0.6434108527131783,0.6693548387096774,0.6561264822134387,124
seed_2024,THCA,0.8,0.6049382716049383,0.6889279437609842,324
seed_2024,THYM,0.25766871165644173,0.42857142857142855,0.3218390804597701,98
seed_2024,UCEC,0.6391752577319587,0.6262626262626263,0.6326530612244898,198
bagged_42_777_2024,ACC,0.9523809523809523,0.8333333333333334,0.8888888888888888,72
bagged_42_777_2024,BLCA,0.6125,0.47115384615384615,0.532608695652174,104
bagged_42_777_2024,BRCA,0.5824175824175825,0.539440203562341,0.560105680317041,786
bagged_42_777_2024,CESC,0.512396694214876,0.4,0.4492753623188406,155
bagged_42_777_2024,COAD,0.7877358490566038,0.7488789237668162,0.767816091954023,223
bagged_42_777_2024,DLBC,0.8,0.5263157894736842,0.6349206349206349,38
bagged_42_777_2024,GBMLGG,0.6573604060913706,0.561822125813449,0.6058479532163743,461
bagged_42_777_2024,HNSC,0.4397905759162304,0.37668161434977576,0.4057971014492754,223
bagged_42_777_2024,KIPAN,0.7092511013215859,0.625242718446602,0.6646026831785345,515
bagged_42_777_2024,KIRC,0.6810126582278481,0.8053892215568862,0.7379972565157751,334
bagged_42_777_2024,LAML,0.5902777777777778,0.5379746835443038,0.5629139072847682,158
bagged_42_777_2024,LGG,0.6319702602230484,0.74235807860262,0.6827309236947792,229
bagged_42_777_2024,LIHC,0.46296296296296297,0.47468354430379744,0.46875,158
bagged_42_777_2024,LUAD,0.5299145299145299,0.33695652173913043,0.4119601328903654,184
bagged_42_777_2024,LUSC,0.5158371040723982,0.6404494382022472,0.5714285714285714,178
bagged_42_777_2024,OV,0.408955223880597,0.541501976284585,0.46598639455782315,253
bagged_42_777_2024,PAAD,0.453781512605042,0.45,0.45188284518828453,120
bagged_42_777_2024,PCPG,0.2897959183673469,0.48299319727891155,0.3622448979591837,147
bagged_42_777_2024,PRAD,0.3305785123966942,0.45112781954887216,0.3815580286168522,266
bagged_42_777_2024,SARC,0.25133689839572193,0.23737373737373738,0.24415584415584415,198
bagged_42_777_2024,SKCM,0.9621848739495799,0.8297101449275363,0.8910505836575876,276
bagged_42_777_2024,STES,0.5536992840095465,0.6121372031662269,0.581453634085213,379
bagged_42_777_2024,TGCT,0.6518518518518519,0.7096774193548387,0.6795366795366795,124
bagged_42_777_2024,THCA,0.8398268398268398,0.5987654320987654,0.6990990990990991,324
bagged_42_777_2024,THYM,0.25609756097560976,0.42857142857142855,0.32061068702290074,98
bagged_42_777_2024,UCEC,0.6772486772486772,0.6464646464646465,0.661498708010336,198
